"","Tm","Current_Name","Max(date)","min(date)","count(*)"
"1","ANA","LAA",12695,9952,1656
"2","ARI","ARI",19484,10316,4704
"3","ATL","ATL",19484,7403,6090
"4","BAL","BAL",19484,7403,6090
"5","BOS","BOS",19484,7403,6090
"6","CAL","LAA",9769,7403,1204
"7","CHC","CHC",19484,7403,6090
"8","CHW","CHW",19484,7403,6090
"9","CIN","CIN",19484,7403,6090
"10","CLE","CLE",19484,7403,6090
"11","COL","COL",19484,8495,5545
"12","DET","DET",19484,7403,6090
"13","FLA","MIA",15246,8495,3602
"14","HOU","HOU",19484,7403,6090
"15","KCR","KCR",19484,7403,6090
"16","LAA","LAA",19484,12877,3230
"17","LAD","LAD",19484,7403,6090
"18","MIA","MIA",19484,15435,1943
"19","MIL","MIL",19484,7403,6090
"20","MIN","MIN",19484,7403,6090
"21","MON","WSN",12695,7403,2860
"22","NYM","NYM",19484,7403,6090
"23","NYY","NYY",19484,7403,6090
"24","OAK","OAK",19484,7403,6090
"25","PHI","PHI",19484,7403,6090
"26","PIT","PIT",19484,7403,6090
"27","SDP","SDP",19484,7403,6090
"28","SEA","SEA",19484,7403,6090
"29","SFG","SFG",19484,7403,6090
"30","STL","STL",19484,7403,6090
"31","TBD","TBR",13788,10316,2024
"32","TBR","TBR",19484,13968,2680
"33","TEX","TEX",19484,7403,6090
"34","TOR","TOR",19484,7403,6090
"35","WSN","WSN",19484,12877,3230
